epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.126,0.90034,1.30786,0.47178,2.30765,1.06894,0.92705,0.95134,0.98088,0.84273,0.92705,0.95134,0.98088,0.9277,0.59162,0.26971,0.09708,0.56662,0.92559,0.00333022,0.00333022,0.00333022
2,318.849,0.70656,0.3902,0.1888,0.78145,0.93806,0.98352,0.99155,0.99109,0.86104,0.98352,0.99155,0.99109,0.97184,0.55968,0.16181,0.03515,0.40635,0.90179,0.00666283,0.00666283,0.00666283
3,457.838,0.70383,0.32034,0.14194,0.60494,0.94644,0.97761,0.98797,0.99079,0.85845,0.9783,0.98777,0.99082,0.97278,0.55528,0.14887,0.02175,0.41226,0.91081,0.00999255,0.00999255,0.00999255
4,595.863,0.69195,0.26138,0.11109,0.54347,0.94444,0.98201,0.99332,0.98942,0.87482,0.98201,0.99332,0.98942,0.97884,0.50765,0.11298,0.01175,0.35556,0.89229,0.00999023,0.00999023,0.00999023
5,734.024,0.6365,0.20573,0.08845,0.46826,0.92862,0.96059,0.98952,0.99152,0.89287,0.96059,0.98952,0.99152,0.9804,0.4742,0.0989,0.00824,0.35961,0.88024,0.00998264,0.00998264,0.00998264
6,872.625,0.5986,0.17574,0.07725,0.4353,0.91911,0.98485,0.99483,0.99186,0.89371,0.98485,0.99483,0.99186,0.98474,0.46583,0.08193,0.00738,0.32505,0.87121,0.00997288,0.00997288,0.00997288
7,1010.78,0.55881,0.16185,0.07321,0.39827,0.9041,0.97584,0.99454,0.99262,0.90239,0.97584,0.99454,0.99262,0.98791,0.43975,0.07071,0.00539,0.29442,0.86644,0.00996097,0.00996097,0.00996097
8,1149.05,0.54625,0.15165,0.06704,0.37743,0.89866,0.98878,0.99493,0.99354,0.91729,0.98878,0.99493,0.99354,0.98918,0.40133,0.06614,0.00558,0.27865,0.84641,0.0099469,0.0099469,0.0099469
9,1287.57,0.51781,0.13341,0.0609,0.36472,0.88723,0.98897,0.99594,0.9938,0.91502,0.98897,0.99594,0.9938,0.99035,0.39673,0.06132,0.00432,0.26845,0.84236,0.00993068,0.00993068,0.00993068
10,1425.96,0.49953,0.12405,0.05854,0.34584,0.88156,0.98957,0.99649,0.99359,0.93785,0.98957,0.99649,0.99359,0.99103,0.37364,0.05448,0.00332,0.25649,0.8354,0.00991232,0.00991232,0.00991232
11,1564.38,0.49435,0.12052,0.05401,0.34155,0.87854,0.9905,0.99637,0.9941,0.93163,0.9905,0.99637,0.9941,0.99169,0.37086,0.04878,0.00257,0.24527,0.83156,0.00989183,0.00989183,0.00989183
12,1702.24,0.47665,0.11155,0.05094,0.32963,0.87836,0.98798,0.99737,0.99319,0.92836,0.98798,0.99737,0.99319,0.99045,0.37467,0.05262,0.00292,0.24903,0.83259,0.00986922,0.00986922,0.00986922
13,1840.12,0.4683,0.10789,0.04886,0.32092,0.87325,0.99098,0.99627,0.99407,0.9411,0.99098,0.99627,0.99407,0.99208,0.34575,0.04362,0.00298,0.23234,0.82257,0.00984449,0.00984449,0.00984449
14,1978.2,0.45684,0.10215,0.04738,0.31183,0.87224,0.98859,0.99598,0.99412,0.95018,0.98859,0.99598,0.99412,0.99251,0.34279,0.04332,0.00268,0.23455,0.82318,0.00981765,0.00981765,0.00981765
15,2116.6,0.45109,0.10145,0.0452,0.3072,0.86602,0.99263,0.99482,0.99404,0.94424,0.99263,0.99482,0.99404,0.991,0.33478,0.04471,0.00234,0.2289,0.81731,0.00978873,0.00978873,0.00978873
16,2255.32,0.43973,0.09907,0.04801,0.30087,0.86276,0.99291,0.99664,0.99433,0.95181,0.99291,0.99664,0.99433,0.99229,0.32273,0.04164,0.0024,0.22473,0.81708,0.00975773,0.00975773,0.00975773
17,2393.86,0.43098,0.09113,0.04148,0.29409,0.85736,0.99062,0.99758,0.99387,0.94674,0.99062,0.99758,0.99387,0.99274,0.31832,0.03697,0.00202,0.21888,0.81366,0.00972466,0.00972466,0.00972466
18,2531.55,0.42485,0.09,0.0414,0.2905,0.8589,0.99331,0.99667,0.99463,0.95706,0.99331,0.99667,0.99463,0.99323,0.30823,0.04058,0.0028,0.21443,0.81237,0.00968955,0.00968955,0.00968955
19,2670.51,0.41883,0.08733,0.03867,0.28431,0.85411,0.99232,0.99605,0.99459,0.96074,0.99232,0.99605,0.99459,0.99306,0.30416,0.03472,0.00184,0.20931,0.80986,0.00965239,0.00965239,0.00965239
20,2808.44,0.4176,0.08551,0.03984,0.28362,0.85554,0.9923,0.99664,0.99472,0.95813,0.9923,0.99664,0.99472,0.99331,0.30256,0.03552,0.00303,0.20473,0.80828,0.00961322,0.00961322,0.00961322
21,2947.7,0.40583,0.08077,0.03741,0.27157,0.85,0.99268,0.99722,0.9946,0.95388,0.99268,0.99722,0.9946,0.99277,0.30412,0.03484,0.00206,0.20148,0.80873,0.00957205,0.00957205,0.00957205
22,3086.03,0.4036,0.0843,0.03903,0.27353,0.84783,0.9919,0.9969,0.99444,0.95911,0.9919,0.9969,0.99444,0.99311,0.29167,0.03546,0.00164,0.20565,0.80674,0.00952889,0.00952889,0.00952889
23,3223.93,0.39512,0.07922,0.03885,0.26938,0.84951,0.99231,0.99555,0.99454,0.9637,0.99231,0.99555,0.99454,0.99317,0.29058,0.03352,0.00189,0.1995,0.80236,0.00948377,0.00948377,0.00948377
24,3362.99,0.39321,0.08109,0.03617,0.26667,0.8467,0.99455,0.99707,0.99482,0.96247,0.99455,0.99707,0.99482,0.9939,0.28912,0.02984,0.00158,0.19077,0.80282,0.00943671,0.00943671,0.00943671
25,3501.33,0.3894,0.07662,0.03543,0.26349,0.84558,0.99226,0.99674,0.99482,0.96442,0.99226,0.99674,0.99482,0.99343,0.27742,0.03116,0.00133,0.19101,0.80074,0.00938772,0.00938772,0.00938772
26,3640.18,0.38486,0.07441,0.03623,0.26044,0.84558,0.99534,0.99708,0.99487,0.96724,0.99534,0.99708,0.99487,0.99328,0.2724,0.03005,0.00166,0.18285,0.79853,0.00933683,0.00933683,0.00933683
27,3778.61,0.38654,0.07265,0.03623,0.25792,0.84495,0.99283,0.99835,0.99469,0.96592,0.99283,0.99835,0.99469,0.99331,0.27415,0.0304,0.00143,0.18459,0.80219,0.00928405,0.00928405,0.00928405
