epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.558,3.07435,7.2141,4.47558,0,0,0,0,2.86269,5.35232,3.86366,0.00326923,0.00326923,0.00326923
2,50.6306,3.09618,6.93543,4.2627,0,0,0,0,2.86601,5.34933,3.88065,0.00660255,0.00660255,0.00660255
3,59.6096,2.95693,6.79615,4.0872,0.40055,0.00222,0.00014,2e-05,2.84781,31.1359,4.54804,0.0099358,0.0099358,0.0099358
4,69.5089,2.72621,6.44227,3.6398,0.48058,0.00254,0.0002,7e-05,2.95976,inf,7.45099,0.00999978,0.00999978,0.00999978
5,79.1718,2.56526,5.92243,3.24217,0.06802,0.06463,0.00393,0.00135,2.39866,inf,3.41198,0.00999961,0.00999961,0.00999961
6,87.9694,2.44063,5.27835,2.9979,0.31423,0.10307,0.02243,0.00967,2.17191,11.2598,2.77112,0.00999939,0.00999939,0.00999939
7,97.1912,2.30368,4.84689,2.74329,0.26349,0.09808,0.04782,0.02212,1.9924,10.5231,2.4995,0.00999912,0.00999912,0.00999912
8,106.602,2.26411,4.37757,2.64725,0.26944,0.14646,0.09568,0.04185,1.96488,7.19808,2.48657,0.0099988,0.0099988,0.0099988
9,115.767,2.03939,4.07417,2.49392,0.31917,0.1976,0.15333,0.07113,1.84138,4.31691,2.28465,0.00999844,0.00999844,0.00999844
10,124.632,2.03979,3.84565,2.42838,0.38281,0.19825,0.17723,0.08224,1.79239,2.73824,2.17302,0.00999802,0.00999802,0.00999802
11,133.461,1.93514,3.55756,2.36787,0.43209,0.2292,0.22257,0.11883,1.64639,3.70317,2.09738,0.00999756,0.00999756,0.00999756
12,142.168,1.84017,3.53971,2.27266,0.53285,0.21044,0.25261,0.1419,1.56108,2.13837,2.00868,0.00999704,0.00999704,0.00999704
13,151.612,1.81543,3.25,2.22829,0.35945,0.24137,0.21971,0.12357,1.58707,2.26546,2.01761,0.00999648,0.00999648,0.00999648
14,160.756,1.74034,3.05374,2.18538,0.47123,0.25,0.28159,0.15573,1.51825,2.80116,1.91171,0.00999587,0.00999587,0.00999587
15,169.602,1.66122,2.8916,2.06072,0.63735,0.30951,0.39379,0.2344,1.33622,1.94099,1.75942,0.00999521,0.00999521,0.00999521
16,178.941,1.64019,2.72281,2.03406,0.70118,0.35554,0.41291,0.25094,1.28512,1.77737,1.72568,0.0099945,0.0099945,0.0099945
17,187.975,1.59169,2.5387,1.97997,0.58037,0.36775,0.40958,0.25091,1.30848,2.12413,1.74115,0.00999375,0.00999375,0.00999375
18,196.646,1.53806,2.45367,2.00225,0.62568,0.36703,0.40927,0.25621,1.27183,1.63599,1.71291,0.00999294,0.00999294,0.00999294
19,205.389,1.48689,2.44051,1.95193,0.59762,0.42429,0.45797,0.3035,1.20604,1.51938,1.63875,0.00999209,0.00999209,0.00999209
20,213.972,1.45887,2.2977,1.92128,0.69753,0.36363,0.45545,0.2886,1.33734,1.67377,1.76684,0.00999118,0.00999118,0.00999118
